0	0	0	0	0	0
29.34	-6.43	28.35	32.69	-16.31	-22.74
26.47	-8.46	23.15	21.64	-32.17	-14.83
35.78	-3.91	29.1	36.19	-40.58	-9.4
38.92	-1.24	31.61	45.58	-45.36	-18.9
37.81	9.84	37.58	37.62	-51.2	27.37
31.38	2.33	43.27	16.77	-43.71	81.55
28.1	-6.38	47.03	-4.85	-51.06	138.94
28.1	-13.38	31.35	-32.17	29.43	176.68
28.1	-25.85	25.23	-34.55	40.08	240.1
15.34	-28.75	22.89	-26.73	34.46	298.6
12.85	-6.67	33.18	-38.68	17.99	326.63
12.29	1.11	39.4	-28.17	7.98	356.56
11.36	10.98	41.7	-16.51	-8.77	-0.85
12.77	19.11	24.26	5.79	-31.56	-25.93
9.9	24.19	11.7	18.55	-41.24	-51.36
7.74	29.61	-2.22	19.21	-54.3	-91.81
8.3	25.12	-8.03	32.12	-48.52	-129.12
6.51	16.6	-5.98	38.4	-53.48	-129.01
-0.8	20.23	1.01	49.26	-65.96	-147.51
-0.18	39.92	-18.03	39.32	-45.63	-166.42
-8.35	44.71	-20.77	23.62	-39.57	-195.96
-10.03	47.46	-22.78	11.18	-36.26	-208.75
-12.1	25.65	9.1	-8.01	-25.72	-251.7
-13.38	28.86	18.74	-14.95	-15.59	-275.75
-14.71	30.38	21.49	-21.5	-11.72	-295.4
-14.53	32.97	36.52	-36.11	7.22	-313.21
-16.69	27.76	33.99	-63.87	22.42	-341.55
-21.12	-10.53	47.21	-90.87	54.96	-294.63
-29.45	-11.61	50.88	-107.68	46.3	-237.05
-34.62	-14.78	59.81	-118.95	49.35	-148.59
-15.23	-25.5	57.17	24.37	-13.19	-71.04
-5.18	-23.28	59.17	38.8	-37.5	-22.06
10.55	-25.55	59.17	6.63	-49.71	37.43
26.22	-27.93	62.33	-6.43	-23.06	87.62
33.57	-27.79	63.65	10.63	-38.4	87.62
26.24	-33.61	64.1	-11.91	-58.44	129.42
49.41	-27.89	9.04	12.46	59.24	162.17
25.46	20.67	-30.11	-18.24	79.13	102.08
-12.69	24.77	7.96	-34.24	-78.56	177.68
